unit,country,year,value
Square kilometre,Austria,2000,11635.2
Square kilometre,Austria,2010,11835.0
Square kilometre,Austria,2016,11773.0
Square kilometre,Belgium,2000,168.2
Square kilometre,Belgium,2010,98.6
Square kilometre,Belgium,2016,100.7
Square kilometre,Bulgaria,2000,5009.4
Square kilometre,Bulgaria,2010,3131.0
Square kilometre,Bulgaria,2016,3497.7
Square kilometre,Cyprus,2000,707.2
Square kilometre,Cyprus,2010,507.8
Square kilometre,Cyprus,2016,514.6
Square kilometre,Czechia,2000,2018.6
Square kilometre,Czechia,2010,976.1
Square kilometre,Czechia,2016,955.5
Square kilometre,Germany,2000,7895.0
Square kilometre,Germany,2010,4391.7
Square kilometre,Germany,2016,4150.5
Square kilometre,Denmark,2000,2.8
Square kilometre,Denmark,2010,2.0
Square kilometre,Denmark,2016,1.0
Square kilometre,Estonia,2000,3.1
Square kilometre,Estonia,2010,1.3
Square kilometre,Estonia,2016,0.6
Square kilometre,Greece,2000,13449.8
Square kilometre,Greece,2010,11721.2
Square kilometre,Greece,2016,11639.3
Square kilometre,Spain,2000,52651.8
Square kilometre,Spain,2010,42703.7
Square kilometre,Spain,2016,43305.4
Square kilometre,European Union - 27 countries (from 2020),2000,227273.7
Square kilometre,European Union - 27 countries (from 2020),2010,198607.3
Square kilometre,European Union - 27 countries (from 2020),2016,196853.4
Square kilometre,European Union - 28 countries (2013-2020),2000,235236.0
Square kilometre,European Union - 28 countries (2013-2020),2010,207232.2
Square kilometre,European Union - 28 countries (2013-2020),2016,205294.5
Square kilometre,Finland,2000,37.9
Square kilometre,Finland,2010,34.3
Square kilometre,Finland,2016,34.2
Square kilometre,France,2000,21074.6
Square kilometre,France,2010,17303.2
Square kilometre,France,2016,16602.1
Square kilometre,Croatia,2000,4219.8
Square kilometre,Croatia,2010,3780.9
Square kilometre,Croatia,2016,2562.1
Square kilometre,Hungary,2000,2484.5
Square kilometre,Hungary,2010,2174.5
Square kilometre,Hungary,2016,2125.2
Square kilometre,Ireland,2000,392.7
Square kilometre,Ireland,2010,378.4
Square kilometre,Ireland,2016,367.9
Square kilometre,Italy,2000,71061.5
Square kilometre,Italy,2010,67990.9
Square kilometre,Italy,2016,68398.2
Square kilometre,Lithuania,2000,15.7
Square kilometre,Lithuania,2010,11.8
Square kilometre,Lithuania,2016,11.5
Square kilometre,Luxembourg,2000,83.3
Square kilometre,Luxembourg,2010,62.1
Square kilometre,Luxembourg,2016,61.4
Square kilometre,Latvia,2000,5.2
Square kilometre,Latvia,2010,3.9
Square kilometre,Latvia,2016,4.3
Square kilometre,Malta,2000,65.0
Square kilometre,Malta,2010,27.1
Square kilometre,Malta,2016,18.7
Square kilometre,Netherlands,2000,4.1
Square kilometre,Netherlands,2010,1.8
Square kilometre,Netherlands,2016,1.6
Square kilometre,Poland,2000,3740.7
Square kilometre,Poland,2010,3203.6
Square kilometre,Poland,2016,3342.4
Square kilometre,Portugal,2000,4400.1
Square kilometre,Portugal,2010,3736.5
Square kilometre,Portugal,2016,3417.6
Square kilometre,Romania,2000,17289.1
Square kilometre,Romania,2010,16159.3
Square kilometre,Romania,2016,15695.7
Square kilometre,Sweden,2000,2487.5
Square kilometre,Sweden,2010,2527.4
Square kilometre,Sweden,2016,2501.5
Square kilometre,Slovenia,2000,3762.1
Square kilometre,Slovenia,2010,3684.3
Square kilometre,Slovenia,2016,3686.6
Square kilometre,Slovakia,2000,2608.6
Square kilometre,Slovakia,2010,2159.3
Square kilometre,Slovakia,2016,2084.3
Square kilometre,United Kingdom,2000,7962.3
Square kilometre,United Kingdom,2010,8624.9
Square kilometre,United Kingdom,2016,8441.2
Percentage,Austria,2000,15.45
Percentage,Austria,2010,15.56
Percentage,Austria,2016,15.5
Percentage,Belgium,2000,0.7
Percentage,Belgium,2010,0.41
Percentage,Belgium,2016,0.42
Percentage,Bulgaria,2000,4.82
Percentage,Bulgaria,2010,3.01
Percentage,Bulgaria,2016,3.37
Percentage,Cyprus,2000,8.55
Percentage,Cyprus,2010,6.1
Percentage,Cyprus,2016,6.5
Percentage,Czechia,2000,2.77
Percentage,Czechia,2010,1.33
Percentage,Czechia,2016,1.31
Percentage,Germany,2000,2.46
Percentage,Germany,2010,1.37
Percentage,Germany,2016,1.3
Percentage,Denmark,2000,0.01
Percentage,Denmark,2010,0.01
Percentage,Denmark,2016,0.0
Percentage,Estonia,2000,0.01
Percentage,Estonia,2010,0.0
Percentage,Estonia,2016,0.0
Percentage,Greece,2000,10.8
Percentage,Greece,2010,9.41
Percentage,Greece,2016,9.6
Percentage,Spain,2000,10.92
Percentage,Spain,2010,8.85
Percentage,Spain,2016,9.02
Percentage,European Union - 27 countries (from 2020),2000,6.11
Percentage,European Union - 27 countries (from 2020),2010,5.32
Percentage,European Union - 27 countries (from 2020),2016,5.31
Percentage,European Union - 28 countries (2013-2020),2000,5.99
Percentage,European Union - 28 countries (2013-2020),2010,5.26
Percentage,European Union - 28 countries (2013-2020),2016,5.25
Percentage,Finland,2000,0.01
Percentage,Finland,2010,0.01
Percentage,Finland,2016,0.01
Percentage,France,2000,4.14
Percentage,France,2010,3.39
Percentage,France,2016,3.27
Percentage,Croatia,2000,7.89
Percentage,Croatia,2010,7.07
Percentage,Croatia,2016,5.12
Percentage,Hungary,2000,2.94
Percentage,Hungary,2010,2.57
Percentage,Hungary,2016,2.51
Percentage,Ireland,2000,0.72
Percentage,Ireland,2010,0.68
Percentage,Ireland,2016,0.67
Percentage,Italy,2000,25.83
Percentage,Italy,2010,24.61
Percentage,Italy,2016,24.93
Percentage,Lithuania,2000,0.03
Percentage,Lithuania,2010,0.02
Percentage,Lithuania,2016,0.02
Percentage,Luxembourg,2000,3.56
Percentage,Luxembourg,2010,2.65
Percentage,Luxembourg,2016,2.63
Percentage,Latvia,2000,0.01
Percentage,Latvia,2010,0.01
Percentage,Latvia,2016,0.01
Percentage,Malta,2000,30.13
Percentage,Malta,2010,12.57
Percentage,Malta,2016,10.6
Percentage,Netherlands,2000,0.01
Percentage,Netherlands,2010,0.01
Percentage,Netherlands,2016,0.01
Percentage,Poland,2000,1.28
Percentage,Poland,2010,1.09
Percentage,Poland,2016,1.14
Percentage,Portugal,2000,5.24
Percentage,Portugal,2010,4.44
Percentage,Portugal,2016,4.08
Percentage,Romania,2000,8.09
Percentage,Romania,2010,7.51
Percentage,Romania,2016,7.31
Percentage,Sweden,2000,0.67
Percentage,Sweden,2010,0.68
Percentage,Sweden,2016,0.68
Percentage,Slovenia,2000,19.37
Percentage,Slovenia,2010,18.96
Percentage,Slovenia,2016,18.99
Percentage,Slovakia,2000,5.72
Percentage,Slovakia,2010,4.7
Percentage,Slovakia,2016,4.55
Percentage,United Kingdom,2000,3.87
Percentage,United Kingdom,2010,4.12
Percentage,United Kingdom,2016,4.1
