unit,country,year,value
Euro per kilogram of oil equivalent (KGOE),Albania,2000,2.83
Euro per kilogram of oil equivalent (KGOE),Albania,2001,3.0
Euro per kilogram of oil equivalent (KGOE),Albania,2002,2.84
Euro per kilogram of oil equivalent (KGOE),Albania,2003,3.06
Euro per kilogram of oil equivalent (KGOE),Albania,2004,2.95
Euro per kilogram of oil equivalent (KGOE),Albania,2005,3.09
Euro per kilogram of oil equivalent (KGOE),Albania,2006,3.38
Euro per kilogram of oil equivalent (KGOE),Albania,2007,3.8
Euro per kilogram of oil equivalent (KGOE),Albania,2008,3.92
Euro per kilogram of oil equivalent (KGOE),Albania,2009,4.0
Euro per kilogram of oil equivalent (KGOE),Albania,2010,4.18
Euro per kilogram of oil equivalent (KGOE),Albania,2011,4.11
Euro per kilogram of oil equivalent (KGOE),Albania,2012,4.63
Euro per kilogram of oil equivalent (KGOE),Albania,2013,3.96
Euro per kilogram of oil equivalent (KGOE),Albania,2014,4.05
Euro per kilogram of oil equivalent (KGOE),Albania,2015,4.43
Euro per kilogram of oil equivalent (KGOE),Albania,2016,4.41
Euro per kilogram of oil equivalent (KGOE),Albania,2017,4.37
Euro per kilogram of oil equivalent (KGOE),Albania,2018,4.57
Euro per kilogram of oil equivalent (KGOE),Albania,2019,4.69
Euro per kilogram of oil equivalent (KGOE),Albania,2020,4.88
Euro per kilogram of oil equivalent (KGOE),Austria,2000,8.63
Euro per kilogram of oil equivalent (KGOE),Austria,2001,8.29
Euro per kilogram of oil equivalent (KGOE),Austria,2002,8.37
Euro per kilogram of oil equivalent (KGOE),Austria,2003,8.04
Euro per kilogram of oil equivalent (KGOE),Austria,2004,8.14
Euro per kilogram of oil equivalent (KGOE),Austria,2005,8.01
Euro per kilogram of oil equivalent (KGOE),Austria,2006,8.2
Euro per kilogram of oil equivalent (KGOE),Austria,2007,8.65
Euro per kilogram of oil equivalent (KGOE),Austria,2008,8.71
Euro per kilogram of oil equivalent (KGOE),Austria,2009,8.85
Euro per kilogram of oil equivalent (KGOE),Austria,2010,8.44
Euro per kilogram of oil equivalent (KGOE),Austria,2011,8.94
Euro per kilogram of oil equivalent (KGOE),Austria,2012,9.03
Euro per kilogram of oil equivalent (KGOE),Austria,2013,8.9
Euro per kilogram of oil equivalent (KGOE),Austria,2014,9.29
Euro per kilogram of oil equivalent (KGOE),Austria,2015,9.19
Euro per kilogram of oil equivalent (KGOE),Austria,2016,9.26
Euro per kilogram of oil equivalent (KGOE),Austria,2017,9.3
Euro per kilogram of oil equivalent (KGOE),Austria,2018,9.75
Euro per kilogram of oil equivalent (KGOE),Austria,2019,9.71
Euro per kilogram of oil equivalent (KGOE),Austria,2020,9.78
Euro per kilogram of oil equivalent (KGOE),Austria,2021,9.69
Euro per kilogram of oil equivalent (KGOE),Austria,2022,10.7
Euro per kilogram of oil equivalent (KGOE),Austria,2023,10.93
Euro per kilogram of oil equivalent (KGOE),Bosnia and Herzegovina,2014,2.24
Euro per kilogram of oil equivalent (KGOE),Bosnia and Herzegovina,2015,2.27
Euro per kilogram of oil equivalent (KGOE),Bosnia and Herzegovina,2016,2.14
Euro per kilogram of oil equivalent (KGOE),Bosnia and Herzegovina,2017,2.21
Euro per kilogram of oil equivalent (KGOE),Bosnia and Herzegovina,2018,2.08
Euro per kilogram of oil equivalent (KGOE),Bosnia and Herzegovina,2019,2.21
Euro per kilogram of oil equivalent (KGOE),Bosnia and Herzegovina,2020,2.18
Euro per kilogram of oil equivalent (KGOE),Bosnia and Herzegovina,2021,2.26
Euro per kilogram of oil equivalent (KGOE),Bosnia and Herzegovina,2022,2.37
Euro per kilogram of oil equivalent (KGOE),Belgium,2000,4.73
Euro per kilogram of oil equivalent (KGOE),Belgium,2001,4.83
Euro per kilogram of oil equivalent (KGOE),Belgium,2002,4.96
Euro per kilogram of oil equivalent (KGOE),Belgium,2003,4.77
Euro per kilogram of oil equivalent (KGOE),Belgium,2004,4.9
Euro per kilogram of oil equivalent (KGOE),Belgium,2005,5.05
Euro per kilogram of oil equivalent (KGOE),Belgium,2006,5.18
Euro per kilogram of oil equivalent (KGOE),Belgium,2007,5.37
Euro per kilogram of oil equivalent (KGOE),Belgium,2008,5.22
Euro per kilogram of oil equivalent (KGOE),Belgium,2009,5.56
Euro per kilogram of oil equivalent (KGOE),Belgium,2010,5.32
Euro per kilogram of oil equivalent (KGOE),Belgium,2011,5.84
Euro per kilogram of oil equivalent (KGOE),Belgium,2012,6.15
Euro per kilogram of oil equivalent (KGOE),Belgium,2013,5.94
Euro per kilogram of oil equivalent (KGOE),Belgium,2014,6.42
Euro per kilogram of oil equivalent (KGOE),Belgium,2015,6.46
Euro per kilogram of oil equivalent (KGOE),Belgium,2016,6.16
Euro per kilogram of oil equivalent (KGOE),Belgium,2017,6.17
Euro per kilogram of oil equivalent (KGOE),Belgium,2018,6.28
Euro per kilogram of oil equivalent (KGOE),Belgium,2019,6.41
Euro per kilogram of oil equivalent (KGOE),Belgium,2020,6.78
Euro per kilogram of oil equivalent (KGOE),Belgium,2021,6.47
