unit,country,year,value
Percentage,Albania,2000,3.55
Percentage,Albania,2001,3.13
Percentage,Albania,2002,2.68
Percentage,Albania,2003,2.37
Percentage,Albania,2004,1.76
Percentage,Albania,2005,2.01
Percentage,Albania,2006,1.82
Percentage,Albania,2007,2.09
Percentage,Albania,2008,1.96
Percentage,Albania,2009,1.44
Percentage,Albania,2010,1.13
Percentage,Albania,2011,3.31
Percentage,Albania,2012,1.94
Percentage,Albania,2013,2.04
Percentage,Albania,2014,1.65
Percentage,Albania,2015,2.13
Percentage,Albania,2016,1.68
Percentage,Albania,2017,1.83
Percentage,Albania,2018,1.53
Percentage,Albania,2019,1.51
Percentage,Albania,2020,1.17
Percentage,Albania,2021,1.02
Percentage,Albania,2022,1.16
Percentage,Austria,2000,1.25
Percentage,Austria,2001,1.36
Percentage,Austria,2002,1.26
Percentage,Austria,2003,1.67
Percentage,Austria,2004,1.51
Percentage,Austria,2005,1.56
Percentage,Austria,2006,1.6
Percentage,Austria,2007,1.93
Percentage,Austria,2008,1.99
Percentage,Austria,2009,1.67
Percentage,Austria,2010,1.92
Percentage,Austria,2011,2.03
Percentage,Austria,2012,1.7
Percentage,Austria,2013,1.49
Percentage,Austria,2014,1.75
Percentage,Austria,2015,2.13
Percentage,Austria,2016,1.88
Percentage,Austria,2017,2.1
Percentage,Austria,2018,2.05
Percentage,Austria,2019,0.63
Percentage,Austria,2020,1.79
Percentage,Austria,2021,2.0
Percentage,Austria,2022,2.12
Percentage,Bosnia and Herzegovina,2000,0.43
Percentage,Bosnia and Herzegovina,2001,0.31
Percentage,Bosnia and Herzegovina,2002,0.3
Percentage,Bosnia and Herzegovina,2003,0.38
Percentage,Bosnia and Herzegovina,2004,0.26
Percentage,Bosnia and Herzegovina,2005,0.26
Percentage,Bosnia and Herzegovina,2006,0.34
Percentage,Bosnia and Herzegovina,2007,0.38
Percentage,Bosnia and Herzegovina,2008,0.32
Percentage,Bosnia and Herzegovina,2009,0.45
Percentage,Bosnia and Herzegovina,2010,0.37
Percentage,Bosnia and Herzegovina,2011,0.82
Percentage,Bosnia and Herzegovina,2012,0.68
Percentage,Bosnia and Herzegovina,2013,0.49
Percentage,Bosnia and Herzegovina,2014,0.35
Percentage,Bosnia and Herzegovina,2015,0.54
Percentage,Bosnia and Herzegovina,2016,0.32
Percentage,Bosnia and Herzegovina,2017,0.52
Percentage,Bosnia and Herzegovina,2018,0.33
Percentage,Bosnia and Herzegovina,2019,0.4
Percentage,Bosnia and Herzegovina,2020,2.68
Percentage,Bosnia and Herzegovina,2021,2.42
Percentage,Bosnia and Herzegovina,2022,3.04
Percentage,Belgium,2000,7.12
Percentage,Belgium,2001,5.62
Percentage,Belgium,2002,6.32
Percentage,Belgium,2003,10.47
Percentage,Belgium,2004,11.75
Percentage,Belgium,2005,10.94
Percentage,Belgium,2006,7.68
Percentage,Belgium,2007,13.31
Percentage,Belgium,2008,6.61
Percentage,Belgium,2009,10.98
Percentage,Belgium,2010,4.47
Percentage,Belgium,2011,4.87
Percentage,Belgium,2012,3.58
Percentage,Belgium,2013,3.18
Percentage,Belgium,2014,3.86
Percentage,Belgium,2015,3.74
Percentage,Belgium,2016,3.55
Percentage,Belgium,2017,5.26
Percentage,Belgium,2018,4.22
Percentage,Belgium,2019,4.21
Percentage,Belgium,2020,3.82
Percentage,Belgium,2021,3.27
Percentage,Belgium,2022,5.19
Percentage,Bulgaria,2000,1.44
Percentage,Bulgaria,2001,1.1
Percentage,Bulgaria,2002,0.99
Percentage,Bulgaria,2003,1.48
Percentage,Bulgaria,2004,1.01
Percentage,Bulgaria,2005,0.79
Percentage,Bulgaria,2006,0.95
Percentage,Bulgaria,2007,1.17
Percentage,Bulgaria,2008,1.17
Percentage,Bulgaria,2009,1.0
Percentage,Bulgaria,2010,0.72
