unit,country,year,value
Square kilometre,Albania,2000,2266.0
Square kilometre,Albania,2001,512.0
Square kilometre,Albania,2002,34.0
Square kilometre,Albania,2003,2814.0
Square kilometre,Albania,2004,0.0
Square kilometre,Albania,2005,0.0
Square kilometre,Albania,2006,0.0
Square kilometre,Albania,2007,2063.0
Square kilometre,Albania,2008,792.0
Square kilometre,Albania,2009,0.0
Square kilometre,Albania,2010,0.0
Square kilometre,Albania,2011,313.0
Square kilometre,Albania,2012,670.0
Square kilometre,Albania,2013,0.0
Square kilometre,Albania,2014,0.0
Square kilometre,Albania,2015,585.0
Square kilometre,Albania,2016,1.0
Square kilometre,Albania,2017,4757.0
Square kilometre,Albania,2018,32.0
Square kilometre,Albania,2019,396.0
Square kilometre,Albania,2020,662.0
Square kilometre,Albania,2021,4006.0
Square kilometre,Albania,2022,5417.0
Square kilometre,Albania,2023,45.0
Square kilometre,Austria,2000,4671.0
Square kilometre,Austria,2001,6203.0
Square kilometre,Austria,2002,2850.0
Square kilometre,Austria,2003,23665.0
Square kilometre,Austria,2004,1183.0
Square kilometre,Austria,2005,420.0
Square kilometre,Austria,2006,579.0
Square kilometre,Austria,2007,2880.0
Square kilometre,Austria,2008,25.0
Square kilometre,Austria,2009,75.0
Square kilometre,Austria,2010,1045.0
Square kilometre,Austria,2011,1133.0
Square kilometre,Austria,2012,2352.0
Square kilometre,Austria,2013,4.0
Square kilometre,Austria,2014,25.0
Square kilometre,Austria,2015,4521.0
Square kilometre,Austria,2016,125.0
Square kilometre,Austria,2017,2400.0
Square kilometre,Austria,2018,5785.0
Square kilometre,Austria,2019,1920.0
Square kilometre,Austria,2020,214.0
Square kilometre,Austria,2021,2203.0
Square kilometre,Austria,2022,7919.0
Square kilometre,Austria,2023,59.0
Square kilometre,Bosnia and Herzegovina,2000,19178.0
Square kilometre,Bosnia and Herzegovina,2001,110.0
Square kilometre,Bosnia and Herzegovina,2002,281.0
Square kilometre,Bosnia and Herzegovina,2003,20418.0
Square kilometre,Bosnia and Herzegovina,2004,0.0
Square kilometre,Bosnia and Herzegovina,2005,0.0
Square kilometre,Bosnia and Herzegovina,2006,0.0
Square kilometre,Bosnia and Herzegovina,2007,276.0
Square kilometre,Bosnia and Herzegovina,2008,1.0
Square kilometre,Bosnia and Herzegovina,2009,18.0
Square kilometre,Bosnia and Herzegovina,2010,0.0
Square kilometre,Bosnia and Herzegovina,2011,564.0
Square kilometre,Bosnia and Herzegovina,2012,8291.0
Square kilometre,Bosnia and Herzegovina,2013,640.0
Square kilometre,Bosnia and Herzegovina,2014,0.0
Square kilometre,Bosnia and Herzegovina,2015,625.0
Square kilometre,Bosnia and Herzegovina,2016,0.0
Square kilometre,Bosnia and Herzegovina,2017,2189.0
Square kilometre,Bosnia and Herzegovina,2018,0.0
Square kilometre,Bosnia and Herzegovina,2019,18.0
Square kilometre,Bosnia and Herzegovina,2020,886.0
Square kilometre,Bosnia and Herzegovina,2021,6338.0
Square kilometre,Bosnia and Herzegovina,2022,24979.0
Square kilometre,Bosnia and Herzegovina,2023,590.0
Square kilometre,Belgium,2000,0.0
Square kilometre,Belgium,2001,0.0
Square kilometre,Belgium,2002,0.0
Square kilometre,Belgium,2003,199.0
Square kilometre,Belgium,2004,0.0
Square kilometre,Belgium,2005,0.0
Square kilometre,Belgium,2006,0.0
Square kilometre,Belgium,2007,0.0
Square kilometre,Belgium,2008,0.0
Square kilometre,Belgium,2009,0.0
Square kilometre,Belgium,2010,3.0
Square kilometre,Belgium,2011,2263.0
Square kilometre,Belgium,2012,0.0
Square kilometre,Belgium,2013,79.0
Square kilometre,Belgium,2014,3.0
Square kilometre,Belgium,2015,0.0
Square kilometre,Belgium,2016,0.0
Square kilometre,Belgium,2017,2574.0
Square kilometre,Belgium,2018,3530.0
Square kilometre,Belgium,2019,1427.0
Square kilometre,Belgium,2020,11740.0
Square kilometre,Belgium,2021,2.0
Square kilometre,Belgium,2022,17350.0
Square kilometre,Belgium,2023,0.0
Square kilometre,Bulgaria,2000,56150.0
Square kilometre,Bulgaria,2001,48896.0
Square kilometre,Bulgaria,2002,9231.0
Square kilometre,Bulgaria,2003,13737.0
Square kilometre,Bulgaria,2004,280.0
Square kilometre,Bulgaria,2005,0.0
Square kilometre,Bulgaria,2006,0.0
Square kilometre,Bulgaria,2007,10138.0
Square kilometre,Bulgaria,2008,383.0
Square kilometre,Bulgaria,2009,2406.0
Square kilometre,Bulgaria,2010,1.0
Square kilometre,Bulgaria,2011,253.0
Square kilometre,Bulgaria,2012,1844.0
Square kilometre,Bulgaria,2013,164.0
Square kilometre,Bulgaria,2014,2.0
Square kilometre,Bulgaria,2015,7.0
Square kilometre,Bulgaria,2016,9.0
Square kilometre,Bulgaria,2017,3309.0
Square kilometre,Bulgaria,2018,20.0
Square kilometre,Bulgaria,2019,141.0
Square kilometre,Bulgaria,2020,10265.0
Square kilometre,Bulgaria,2021,886.0
Square kilometre,Bulgaria,2022,3919.0
Square kilometre,Bulgaria,2023,2741.0
Square kilometre,Switzerland,2000,0.0
Square kilometre,Switzerland,2001,2.0
Square kilometre,Switzerland,2002,3.0
Square kilometre,Switzerland,2003,1481.0
Square kilometre,Switzerland,2004,37.0
Square kilometre,Switzerland,2005,62.0
Square kilometre,Switzerland,2006,228.0
Square kilometre,Switzerland,2007,15.0
Square kilometre,Switzerland,2008,3.0
Square kilometre,Switzerland,2009,443.0
Square kilometre,Switzerland,2010,321.0
Square kilometre,Switzerland,2011,2312.0
Square kilometre,Switzerland,2012,308.0
Square kilometre,Switzerland,2013,51.0
Square kilometre,Switzerland,2014,2.0
Square kilometre,Switzerland,2015,498.0
Square kilometre,Switzerland,2016,66.0
Square kilometre,Switzerland,2017,1763.0
Square kilometre,Switzerland,2018,4796.0
Square kilometre,Switzerland,2019,2201.0
Square kilometre,Switzerland,2020,1954.0
Square kilometre,Switzerland,2021,457.0
Square kilometre,Switzerland,2022,6317.0
Square kilometre,Switzerland,2023,1451.0
Square kilometre,Cyprus,2000,56.0
Square kilometre,Cyprus,2001,0.0
Square kilometre,Cyprus,2002,0.0
Square kilometre,Cyprus,2003,0.0
