unit,country,year,value
Percentage,Austria,2010,6.8
Percentage,Austria,2011,6.9
Percentage,Austria,2012,7.9
Percentage,Austria,2013,9.1
Percentage,Austria,2014,9.9
Percentage,Austria,2015,11.2
Percentage,Austria,2016,11.9
Percentage,Austria,2017,12.0
Percentage,Austria,2018,11.8
Percentage,Austria,2019,11.5
Percentage,Austria,2020,11.4
Percentage,Austria,2021,11.3
Percentage,Austria,2022,12.4
Percentage,Austria,2023,14.3
Percentage,Belgium,2010,13.5
Percentage,Belgium,2011,14.4
Percentage,Belgium,2012,17.3
Percentage,Belgium,2013,17.3
Percentage,Belgium,2014,17.9
Percentage,Belgium,2015,18.0
Percentage,Belgium,2016,18.0
Percentage,Belgium,2017,19.0
Percentage,Belgium,2018,20.6
Percentage,Belgium,2019,20.5
Percentage,Belgium,2020,22.9
Percentage,Belgium,2021,21.4
Percentage,Belgium,2022,18.3
Percentage,Belgium,2023,19.7
Percentage,Bulgaria,2010,2.1
Percentage,Bulgaria,2011,1.8
Percentage,Bulgaria,2012,1.8
Percentage,Bulgaria,2013,2.5
Percentage,Bulgaria,2014,2.7
Percentage,Bulgaria,2015,3.1
Percentage,Bulgaria,2016,4.3
Percentage,Bulgaria,2017,3.4
Percentage,Bulgaria,2018,2.4
Percentage,Bulgaria,2019,4.0
Percentage,Bulgaria,2020,5.8
Percentage,Bulgaria,2021,4.3
Percentage,Bulgaria,2022,3.0
Percentage,Bulgaria,2023,4.9
Percentage,Cyprus,2010,2.0
Percentage,Cyprus,2011,1.9
Percentage,Cyprus,2012,2.0
Percentage,Cyprus,2013,2.4
Percentage,Cyprus,2014,2.2
Percentage,Cyprus,2015,2.4
Percentage,Cyprus,2016,2.4
Percentage,Cyprus,2017,2.4
Percentage,Cyprus,2018,2.8
Percentage,Cyprus,2019,3.2
Percentage,Cyprus,2020,3.8
Percentage,Cyprus,2021,5.9
Percentage,Cyprus,2022,8.5
Percentage,Cyprus,2023,5.4
Percentage,Czechia,2010,5.3
Percentage,Czechia,2011,5.4
Percentage,Czechia,2012,6.3
Percentage,Czechia,2013,6.7
Percentage,Czechia,2014,6.8
Percentage,Czechia,2015,6.9
Percentage,Czechia,2016,7.5
Percentage,Czechia,2017,9.1
Percentage,Czechia,2018,10.5
Percentage,Czechia,2019,10.6
Percentage,Czechia,2020,11.5
Percentage,Czechia,2021,11.0
Percentage,Czechia,2022,11.3
Percentage,Czechia,2023,12.8
Percentage,Germany,2010,11.2
Percentage,Germany,2011,10.6
Percentage,Germany,2012,11.0
Percentage,Germany,2013,11.1
Percentage,Germany,2014,11.2
Percentage,Germany,2015,11.6
Percentage,Germany,2016,11.8
Percentage,Germany,2017,11.6
Percentage,Germany,2018,12.0
Percentage,Germany,2019,12.4
Percentage,Germany,2020,12.8
Percentage,Germany,2021,12.2
Percentage,Germany,2022,12.5
Percentage,Germany,2023,13.9
Percentage,Denmark,2010,8.0
Percentage,Denmark,2011,7.0
Percentage,Denmark,2012,6.4
Percentage,Denmark,2013,7.7
Percentage,Denmark,2014,9.0
Percentage,Denmark,2015,8.3
Percentage,Denmark,2016,8.0
Percentage,Denmark,2017,7.9
Percentage,Denmark,2018,8.1
Percentage,Denmark,2019,7.6
Percentage,Denmark,2020,7.6
Percentage,Denmark,2021,8.6
Percentage,Denmark,2022,9.3
Percentage,Denmark,2023,9.1
Percentage,Estonia,2010,9.0
Percentage,Estonia,2011,14.5
Percentage,Estonia,2012,19.2
Percentage,Estonia,2013,14.7
Percentage,Estonia,2014,11.3
Percentage,Estonia,2015,11.4
Percentage,Estonia,2016,11.9
Percentage,Estonia,2017,12.5
Percentage,Estonia,2018,13.8
Percentage,Estonia,2019,15.3
Percentage,Estonia,2020,16.4
Percentage,Estonia,2021,20.0
Percentage,Estonia,2022,21.4
Percentage,Estonia,2023,18.1
Percentage,Greece,2010,2.5
Percentage,Greece,2011,2.0
Percentage,Greece,2012,1.8
Percentage,Greece,2013,1.7
Percentage,Greece,2014,1.3
Percentage,Greece,2015,1.8
Percentage,Greece,2016,2.1
Percentage,Greece,2017,2.5
Percentage,Greece,2018,3.0
Percentage,Greece,2019,3.3
Percentage,Greece,2020,4.2
Percentage,Greece,2021,5.3
Percentage,Greece,2022,6.3
Percentage,Greece,2023,5.2
Percentage,Spain,2010,10.4
Percentage,Spain,2011,9.9
Percentage,Spain,2012,9.8
Percentage,Spain,2013,8.9
Percentage,Spain,2014,7.7
Percentage,Spain,2015,7.6
Percentage,Spain,2016,8.2
Percentage,Spain,2017,8.8
Percentage,Spain,2018,8.9
Percentage,Spain,2019,9.0
Percentage,Spain,2020,9.3
Percentage,Spain,2021,8.8
Percentage,Spain,2022,9.4
Percentage,Spain,2023,8.5
Percentage,European Union - 27 countries (from 2020),2004,8.2
Percentage,European Union - 27 countries (from 2020),2005,8.7
Percentage,European Union - 27 countries (from 2020),2006,9.0
Percentage,European Union - 27 countries (from 2020),2007,8.9
Percentage,European Union - 27 countries (from 2020),2008,9.1
Percentage,European Union - 27 countries (from 2020),2009,10.4
Percentage,European Union - 27 countries (from 2020),2010,10.7
Percentage,European Union - 27 countries (from 2020),2011,10.2
Percentage,European Union - 27 countries (from 2020),2012,11.0
Percentage,European Union - 27 countries (from 2020),2013,11.2
Percentage,European Union - 27 countries (from 2020),2014,11.1
Percentage,European Union - 27 countries (from 2020),2015,11.2
Percentage,European Union - 27 countries (from 2020),2016,11.4
Percentage,European Union - 27 countries (from 2020),2017,11.5
Percentage,European Union - 27 countries (from 2020),2018,11.6
Percentage,European Union - 27 countries (from 2020),2019,11.2
Percentage,European Union - 27 countries (from 2020),2020,11.2
Percentage,European Union - 27 countries (from 2020),2021,11.1
Percentage,European Union - 27 countries (from 2020),2022,11.5
Percentage,European Union - 27 countries (from 2020),2023,11.8
Percentage,Finland,2010,10.7
Percentage,Finland,2011,11.4
Percentage,Finland,2012,12.2
Percentage,Finland,2013,7.9
Percentage,Finland,2014,5.5
Percentage,Finland,2015,4.9
Percentage,Finland,2016,3.8
Percentage,Finland,2017,4.4
Percentage,Finland,2018,4.4
Percentage,Finland,2019,4.5
Percentage,Finland,2020,4.4
Percentage,Finland,2021,5.1
Percentage,Finland,2022,5.4
Percentage,Finland,2023,2.4
Percentage,France,2010,17.5
Percentage,France,2011,16.9
Percentage,France,2012,16.8
Percentage,France,2013,17.2
Percentage,France,2014,17.8
Percentage,France,2015,18.8
Percentage,France,2016,19.3
Percentage,France,2017,18.7
Percentage,France,2018,19.5
Percentage,France,2019,17.1
Percentage,France,2020,16.2
Percentage,France,2021,15.9
Percentage,France,2022,17.5
Percentage,France,2023,17.6
Percentage,Croatia,2010,1.6
Percentage,Croatia,2011,2.4
Percentage,Croatia,2012,3.5
Percentage,Croatia,2013,3.9
Percentage,Croatia,2014,4.8
Percentage,Croatia,2015,4.6
Percentage,Croatia,2016,4.6
Percentage,Croatia,2017,5.1
Percentage,Croatia,2018,5.0
Percentage,Croatia,2019,5.4
Percentage,Croatia,2020,5.5
Percentage,Croatia,2021,6.1
Percentage,Croatia,2022,6.8
Percentage,Croatia,2023,6.2
Percentage,Hungary,2010,5.2
Percentage,Hungary,2011,5.4
Percentage,Hungary,2012,6.0
Percentage,Hungary,2013,6.1
Percentage,Hungary,2014,5.3
Percentage,Hungary,2015,5.7
Percentage,Hungary,2016,6.3
Percentage,Hungary,2017,6.7
Percentage,Hungary,2018,6.9
Percentage,Hungary,2019,5.5
Percentage,Hungary,2020,5.1
Percentage,Hungary,2021,5.0
Percentage,Hungary,2022,4.9
Percentage,Hungary,2023,5.9
Percentage,Ireland,2010,1.9
Percentage,Ireland,2011,2.2
Percentage,Ireland,2012,1.9
Percentage,Ireland,2013,1.9
Percentage,Ireland,2014,2.2
Percentage,Ireland,2015,2.1
Percentage,Ireland,2016,2.0
Percentage,Ireland,2017,1.9
Percentage,Ireland,2018,1.9
Percentage,Ireland,2019,1.8
Percentage,Ireland,2020,1.8
Percentage,Ireland,2021,2.1
Percentage,Ireland,2022,2.1
Percentage,Ireland,2023,2.3
Percentage,Italy,2010,11.6
Percentage,Italy,2011,11.6
Percentage,Italy,2012,13.9
Percentage,Italy,2013,16.0
Percentage,Italy,2014,16.1
Percentage,Italy,2015,17.2
Percentage,Italy,2016,17.8
Percentage,Italy,2017,18.4
Percentage,Italy,2018,18.8
Percentage,Italy,2019,18.8
Percentage,Italy,2020,20.6
Percentage,Italy,2021,19.7
Percentage,Italy,2022,20.6
Percentage,Italy,2023,20.8
Percentage,Lithuania,2010,3.9
Percentage,Lithuania,2011,3.6
Percentage,Lithuania,2012,3.8
Percentage,Lithuania,2013,3.1
Percentage,Lithuania,2014,3.7
Percentage,Lithuania,2015,4.1
Percentage,Lithuania,2016,4.6
Percentage,Lithuania,2017,4.4
Percentage,Lithuania,2018,4.3
Percentage,Lithuania,2019,3.9
Percentage,Lithuania,2020,4.0
Percentage,Lithuania,2021,4.1
Percentage,Lithuania,2022,4.0
Percentage,Lithuania,2023,3.9
Percentage,Luxembourg,2010,23.4
Percentage,Luxembourg,2011,19.8
Percentage,Luxembourg,2012,17.7
Percentage,Luxembourg,2013,15.2
Percentage,Luxembourg,2014,11.1
Percentage,Luxembourg,2015,9.6
Percentage,Luxembourg,2016,7.1
Percentage,Luxembourg,2017,10.6
Percentage,Luxembourg,2018,10.8
Percentage,Luxembourg,2019,9.1
Percentage,Luxembourg,2020,9.4
Percentage,Luxembourg,2021,8.5
Percentage,Luxembourg,2022,12.3
Percentage,Luxembourg,2023,10.2
Percentage,Latvia,2010,1.2
Percentage,Latvia,2011,2.9
Percentage,Latvia,2012,1.3
Percentage,Latvia,2013,3.9
Percentage,Latvia,2014,5.3
Percentage,Latvia,2015,5.3
Percentage,Latvia,2016,6.6
Percentage,Latvia,2017,5.5
Percentage,Latvia,2018,4.7
Percentage,Latvia,2019,4.8
Percentage,Latvia,2020,5.2
Percentage,Latvia,2021,5.0
Percentage,Latvia,2022,4.5
Percentage,Latvia,2023,5.0
Percentage,Malta,2010,5.3
Percentage,Malta,2011,4.5
Percentage,Malta,2012,3.9
Percentage,Malta,2013,6.3
Percentage,Malta,2014,6.4
Percentage,Malta,2015,4.6
Percentage,Malta,2016,4.2
Percentage,Malta,2017,6.5
Percentage,Malta,2018,8.3
Percentage,Malta,2019,12.8
Percentage,Malta,2020,16.5
Percentage,Malta,2021,19.2
Percentage,Malta,2022,21.5
Percentage,Malta,2023,19.8
Percentage,Netherlands,2010,25.5
Percentage,Netherlands,2011,25.0
Percentage,Netherlands,2012,26.3
Percentage,Netherlands,2013,26.8
Percentage,Netherlands,2014,26.5
Percentage,Netherlands,2015,26.7
Percentage,Netherlands,2016,29.0
Percentage,Netherlands,2017,26.7
Percentage,Netherlands,2018,25.8
Percentage,Netherlands,2019,25.6
Percentage,Netherlands,2020,27.1
Percentage,Netherlands,2021,28.5
Percentage,Netherlands,2022,27.2
Percentage,Netherlands,2023,30.6
Percentage,Poland,2010,11.1
Percentage,Poland,2011,9.4
Percentage,Poland,2012,11.0
Percentage,Poland,2013,12.2
Percentage,Poland,2014,13.0
Percentage,Poland,2015,11.9
Percentage,Poland,2016,10.6
Percentage,Poland,2017,10.4
Percentage,Poland,2018,10.5
Percentage,Poland,2019,9.2
Percentage,Poland,2020,7.4
Percentage,Poland,2021,7.0
Percentage,Poland,2022,6.7
Percentage,Poland,2023,7.5
Percentage,Portugal,2010,1.8
Percentage,Portugal,2011,1.7
Percentage,Portugal,2012,2.0
Percentage,Portugal,2013,2.5
Percentage,Portugal,2014,2.4
Percentage,Portugal,2015,2.1
Percentage,Portugal,2016,2.1
Percentage,Portugal,2017,2.0
Percentage,Portugal,2018,2.2
Percentage,Portugal,2019,2.3
Percentage,Portugal,2020,2.5
Percentage,Portugal,2021,2.7
Percentage,Portugal,2022,3.3
Percentage,Portugal,2023,2.8
Percentage,Romania,2010,3.5
Percentage,Romania,2011,2.5
Percentage,Romania,2012,2.6
Percentage,Romania,2013,2.5
Percentage,Romania,2014,2.1
Percentage,Romania,2015,1.7
Percentage,Romania,2016,1.7
Percentage,Romania,2017,1.8
Percentage,Romania,2018,1.6
Percentage,Romania,2019,1.4
Percentage,Romania,2020,1.5
Percentage,Romania,2021,1.5
Percentage,Romania,2022,1.5
