country,year,sex,value,source
Austria,2006,Females,1.5,ESTAT:SDG_05_40(1.0)
Austria,2007,Females,1.5,ESTAT:SDG_05_40(1.0)
Austria,2008,Females,1.6,ESTAT:SDG_05_40(1.0)
Austria,2009,Females,1.5,ESTAT:SDG_05_40(1.0)
Austria,2010,Females,1.3,ESTAT:SDG_05_40(1.0)
Austria,2011,Females,1.2,ESTAT:SDG_05_40(1.0)
Austria,2012,Females,1.2,ESTAT:SDG_05_40(1.0)
Austria,2013,Females,1.3,ESTAT:SDG_05_40(1.0)
Austria,2014,Females,1.1,ESTAT:SDG_05_40(1.0)
Austria,2015,Females,1.2,ESTAT:SDG_05_40(1.0)
Austria,2016,Females,1.2,ESTAT:SDG_05_40(1.0)
Austria,2017,Females,1.0,ESTAT:SDG_05_40(1.0)
Austria,2018,Females,0.7,ESTAT:SDG_05_40(1.0)
Austria,2019,Females,0.7,ESTAT:SDG_05_40(1.0)
Austria,2020,Females,0.7,ESTAT:SDG_05_40(1.0)
Austria,2021,Females,1.2,ESTAT:SDG_05_40(1.0)
Austria,2022,Females,1.3,ESTAT:SDG_05_40(1.0)
Austria,2023,Females,1.2,ESTAT:SDG_05_40(1.0)
Bosnia and Herzegovina,2021,Females,0.6,ESTAT:SDG_05_40(1.0)
Bosnia and Herzegovina,2022,Females,0.7,ESTAT:SDG_05_40(1.0)
Bosnia and Herzegovina,2023,Females,0.6,ESTAT:SDG_05_40(1.0)
Belgium,2006,Females,0.2,ESTAT:SDG_05_40(1.0)
Belgium,2007,Females,0.2,ESTAT:SDG_05_40(1.0)
Belgium,2008,Females,0.1,ESTAT:SDG_05_40(1.0)
Belgium,2009,Females,0.2,ESTAT:SDG_05_40(1.0)
Belgium,2010,Females,0.2,ESTAT:SDG_05_40(1.0)
Belgium,2012,Females,0.2,ESTAT:SDG_05_40(1.0)
Belgium,2013,Females,0.5,ESTAT:SDG_05_40(1.0)
Belgium,2014,Females,0.3,ESTAT:SDG_05_40(1.0)
Belgium,2015,Females,0.4,ESTAT:SDG_05_40(1.0)
Belgium,2016,Females,0.3,ESTAT:SDG_05_40(1.0)
Belgium,2017,Females,0.4,ESTAT:SDG_05_40(1.0)
Belgium,2018,Females,0.4,ESTAT:SDG_05_40(1.0)
Belgium,2019,Females,0.4,ESTAT:SDG_05_40(1.0)
Belgium,2020,Females,0.3,ESTAT:SDG_05_40(1.0)
Belgium,2021,Females,0.4,ESTAT:SDG_05_40(1.0)
Belgium,2022,Females,0.3,ESTAT:SDG_05_40(1.0)
Belgium,2023,Females,0.4,ESTAT:SDG_05_40(1.0)
Bulgaria,2006,Females,0.6,ESTAT:SDG_05_40(1.0)
Bulgaria,2007,Females,0.6,ESTAT:SDG_05_40(1.0)
Bulgaria,2008,Females,0.4,ESTAT:SDG_05_40(1.0)
Bulgaria,2009,Females,0.3,ESTAT:SDG_05_40(1.0)
Bulgaria,2010,Females,0.4,ESTAT:SDG_05_40(1.0)
Bulgaria,2011,Females,,ESTAT:SDG_05_40(1.0)
Bulgaria,2012,Females,,ESTAT:SDG_05_40(1.0)
Bulgaria,2013,Females,0.3,ESTAT:SDG_05_40(1.0)
Bulgaria,2014,Females,0.3,ESTAT:SDG_05_40(1.0)
Bulgaria,2015,Females,,ESTAT:SDG_05_40(1.0)
Bulgaria,2016,Females,,ESTAT:SDG_05_40(1.0)
Bulgaria,2017,Females,,ESTAT:SDG_05_40(1.0)
Bulgaria,2018,Females,,ESTAT:SDG_05_40(1.0)
Bulgaria,2019,Females,,ESTAT:SDG_05_40(1.0)
Bulgaria,2020,Females,,ESTAT:SDG_05_40(1.0)
Bulgaria,2021,Females,0.5,ESTAT:SDG_05_40(1.0)
Bulgaria,2022,Females,0.4,ESTAT:SDG_05_40(1.0)
Bulgaria,2023,Females,0.4,ESTAT:SDG_05_40(1.0)
Switzerland,2006,Females,3.4,ESTAT:SDG_05_40(1.0)
Switzerland,2007,Females,3.2,ESTAT:SDG_05_40(1.0)
Switzerland,2008,Females,2.7,ESTAT:SDG_05_40(1.0)
Switzerland,2009,Females,2.3,ESTAT:SDG_05_40(1.0)
Switzerland,2010,Females,2.7,ESTAT:SDG_05_40(1.0)
Switzerland,2011,Females,2.4,ESTAT:SDG_05_40(1.0)
Switzerland,2012,Females,2.2,ESTAT:SDG_05_40(1.0)
Switzerland,2013,Females,2.2,ESTAT:SDG_05_40(1.0)
Switzerland,2014,Females,2.1,ESTAT:SDG_05_40(1.0)
Switzerland,2015,Females,2.1,ESTAT:SDG_05_40(1.0)
Switzerland,2016,Females,2.1,ESTAT:SDG_05_40(1.0)
Switzerland,2017,Females,2.0,ESTAT:SDG_05_40(1.0)
Switzerland,2018,Females,1.7,ESTAT:SDG_05_40(1.0)
Switzerland,2019,Females,1.6,ESTAT:SDG_05_40(1.0)
Switzerland,2020,Females,1.6,ESTAT:SDG_05_40(1.0)
Switzerland,2021,Females,1.8,ESTAT:SDG_05_40(1.0)
Switzerland,2022,Females,2.0,ESTAT:SDG_05_40(1.0)
Switzerland,2023,Females,1.9,ESTAT:SDG_05_40(1.0)
Cyprus,2006,Females,1.5,ESTAT:SDG_05_40(1.0)
Cyprus,2007,Females,1.1,ESTAT:SDG_05_40(1.0)
Cyprus,2008,Females,0.8,ESTAT:SDG_05_40(1.0)
Cyprus,2009,Females,0.7,ESTAT:SDG_05_40(1.0)
Cyprus,2010,Females,1.0,ESTAT:SDG_05_40(1.0)
Cyprus,2011,Females,1.0,ESTAT:SDG_05_40(1.0)
Cyprus,2012,Females,1.1,ESTAT:SDG_05_40(1.0)
Cyprus,2013,Females,1.2,ESTAT:SDG_05_40(1.0)
Cyprus,2014,Females,1.3,ESTAT:SDG_05_40(1.0)
Cyprus,2015,Females,1.4,ESTAT:SDG_05_40(1.0)
Cyprus,2016,Females,1.4,ESTAT:SDG_05_40(1.0)
Cyprus,2017,Females,0.8,ESTAT:SDG_05_40(1.0)
Cyprus,2018,Females,0.9,ESTAT:SDG_05_40(1.0)
Cyprus,2019,Females,0.5,ESTAT:SDG_05_40(1.0)
Cyprus,2020,Females,0.6,ESTAT:SDG_05_40(1.0)
Cyprus,2021,Females,1.1,ESTAT:SDG_05_40(1.0)
